"1","……お前、トイレの前でなにしてるんだよ。","……What are you doing in front of the toilet","……O que você está fazendo na frente do banheiro"
"2","……俺に？","……to me？","……para mim？"
"3","あ、上杉さん。\nすっきりしました？","Oh, Mr。 Uesugi。\nDid you clean it up？","Oh, Sr。 Uesugi。\nVocê limpou？"
"4","ああ、次の撮影は、\nお前ら４人でテーマを考えてるんだったよな。\n決まったのか？","Oh, for the next shoot,\n, you and the four of you are thinking about a theme, aren't they？\nHas it been decided？","Oh, para a próxima filmagem,\n, você e vocês quatro estão pensando em um tema, não estão？\nFoi decidido？"
"5","えっとですね、実は次の撮影のことで\n上杉さんにお願いがありまして。","Well, actually, Mr。\nasked me about the next shoot。","Bem, na verdade, o Sr。\nme perguntou sobre a próxima filmagem。"
"6","はい、みんなで決めた案がありまして。\nその実行のために、上杉さんにも\n協力をお願いしたいんです。","Yes, there was a plan that everyone decided。\n\nwould like to ask Mr。 Uesugi for his cooperation in order to carry it out。","Sim, havia um plano que todos decidiram。\n\nde pedir a colaboração do Sr。 Uesugi para realizá-lo。"
"7","ふー……。","Huh……","Huh……"
"8","出右","Izu","Izu"
"9","出左","Izusa","Izusa"
"10","右","right","certo"
"11","四葉","Yotsuba","Yotsuba"
"12","目がっかり:口がっかり:頬無し","Eyes disappointed: mouth disappointed: no cheeks","Olhos decepcionados: boca decepcionada: sem bochechas"
"13","目キョトン:口キョトン:頬無し","Eyes Kyoton: Mouth Kyoton: No cheeks","Olhos Kyoton: Boca Kyoton: Sem bochechas"
"14","目哀しみ:口哀しみ:頬無し","Eyes sadness: mouth sadness: no cheeks","Tristeza nos olhos: tristeza na boca: sem bochechas"
"15","目無表情:口無表情:頬無し","Eyes Expressionless: Mouth Expressionless: No Cheeks","Olhos sem expressão: boca sem expressão: sem bochechas"
"16","目苦笑:口苦笑:頬無し","A bitter smile: a bitter mouth smile: no cheeks","Um sorriso amargo: um sorriso amargo na boca: sem bochechas"
"17","目通常:口通常:頬無し","Eyes Normal: Mouth Normal: No Cheeks","Olhos normais: boca normal: sem bochechas"
"18","風太郎","Futaro","Futaro"
"19","（勉強はそろそろ切り上げるか。\n　そもそも、あいつらの言ってたとおり、\n　想い出作りが目的なんだし）","（Is it about time to round up my studies？\nIn the first place, as they said,\n（The purpose is to make memories）","（Já está na hora de terminar meus estudos？\nEm primeiro lugar, como eles disseram,\n（O objetivo é criar memórias）"
