"1","……惜しいわね。\n少し焦げてるじゃない。","……'m sorry。\nIt's a little burnt。","……muito。\nEstá um pouco queimado。"
"2","これは、アクアパッツァですか？","Is this aqua pazza？","Isso é aqua pazza？"
"3","こんな珍しい料理が島でもできるんだな。","Such an unusual dish can be made on the island, isn't it？","Um prato tão incomum pode ser feito na ilha, não é？"
"4","では、早速いただきましょう！","Well, let's have it right away！","Bem, vamos fazer isso imediatamente！"
"5","でも充分美味しいです。\nこの味、好きになってしまいそうです。","But it's delicious enough。\nI'm likely to fall in love with this taste。","Mas é delicioso o suficiente。\nÉ provável que eu me apaixone por esse sabor。"
"6","ラベル0","Label 0","Rótulo 0"
"7","二乃","Nino","Nino"
"8","五月","May","Maio"
"9","出右","Izu","Izu"
"10","出左","Izusa","Izusa"
"11","別に、材料は普通に手に入るものばかりだし\n珍しいものでもないわ。","Apart from that, there are only ingredients that can be obtained normally, and\nare not rare either。","Além disso, existem apenas ingredientes que podem ser obtidos normalmente e\ntambém não são raros。"
"12","目がっかり:口がっかり:頬無し","Eyes disappointed: mouth disappointed: no cheeks","Olhos decepcionados: boca decepcionada: sem bochechas"
"13","目がっかり:口がっかり:頬無し:汗無し","Eyes disappointed: mouth disappointed: no cheeks: no sweat","Olhos decepcionados: boca decepcionada: sem bochechas: sem suor"
"14","目キョトン:口キョトン:頬無し:汗無し","Eyes Kyoton: Mouth Kyoton: No Cheeks: No Sweat","Olhos Kyoton: Boca Kyoton: Sem bochechas: Sem suor"
"15","目哀しみ:口哀しみ:頬無し","Eyes sadness: mouth sadness: no cheeks","Tristeza nos olhos: tristeza na boca: sem bochechas"
"16","目微笑:口微笑:頬無し:汗無し","Eyes Smiling: Mouth Smiling: No Cheeks: No Sweat","Olhos sorrindo: boca sorrindo: sem bochechas: sem suor"
"17","目笑顔:口笑顔:頬無し:汗無し","Eyes Smile: Mouth Smile: No Cheeks: No Sweat","Sorriso de olhos: sorriso na boca: sem bochechas: sem suor"
"18","目苦笑:口苦笑:頬無し:汗無し","Smiling eyes: bitter mouth smile: no cheeks: no sweat","Olhos sorridentes: boca amarga sorriso: sem bochechas: sem suor"
"19","目通常:口通常:頬無し","Eyes Normal: Mouth Normal: No Cheeks","Olhos normais: boca normal: sem bochechas"
"20","目通常:口通常:頬無し:汗無し","Eyes Normal: Mouth Normal: No Cheeks: No Sweat","Olhos normais: boca normal: sem bochechas: sem suor"
"21","風太郎","Futaro","Futaro"
